user_id,recency,frequency,buy_count,fav_count,cart_count,pv_count,first_date,last_date,total_days,has_bought,cvr,r_rank,r_level,f_rank,f_level,segment
1,268,55,0,0,0,55,2017-11-24 17:21:10,2017-12-03 06:17:27,10,0,0.0,0.5563931574369383,3-中,0.36049096356431815,2-中低频,沉默用户
13,267,11,0,0,4,7,2017-11-26 08:03:11,2017-12-03 15:49:46,5,0,0.0,0.00019329274185754324,1-最近,0.02261525079733256,1-低频,流失用户
100,267,98,8,6,0,84,2017-11-24 19:08:36,2017-12-03 12:26:27,9,1,8.16,0.00028993911278631486,1-最近,0.6069392094326858,4-高频,高价值用户
115,267,241,0,11,3,227,2017-11-25 07:43:44,2017-12-03 12:04:01,9,0,0.0,0.0003865854837150865,1-最近,0.9204600367256209,5-最高频,高价值用户
117,268,170,10,0,4,156,2017-11-25 03:11:19,2017-12-03 08:50:21,8,1,5.88,0.5564898038078671,3-中,0.8224606166038465,5-最高频,流失用户
118,267,90,0,0,0,90,2017-11-24 23:01:32,2017-12-03 11:05:49,9,0,0.0,0.0004832318546438581,1-最近,0.5704068812216101,3-中频,潜力用户
119,267,151,3,6,1,141,2017-11-24 20:44:03,2017-12-03 15:15:52,10,1,1.99,0.0005798782255726297,1-最近,0.7833188363776941,4-高频,高价值用户
121,267,120,1,7,13,99,2017-11-24 16:19:38,2017-12-03 12:22:25,8,1,0.83,0.0006765245965014014,1-最近,0.6974968589929448,4-高频,高价值用户
122,267,282,3,26,10,243,2017-11-24 22:45:05,2017-12-03 14:30:31,9,1,1.06,0.000773170967430173,1-最近,0.9518701072774717,5-最高频,高价值用户
1000,268,81,0,12,2,67,2017-11-24 16:44:13,2017-12-03 01:18:07,9,0,0.0,0.5565864501787958,3-中,0.525176379626945,3-中频,潜力用户
1016,268,26,0,0,0,26,2017-11-27 05:35:05,2017-12-02 16:53:19,5,0,0.0,0.5566830965497246,3-中,0.13453174833285012,1-低频,沉默用户
